symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
MOLN,0.3355907403599648,0.0,0.0,0.0,-0.07047122851682934,0.0,0.23407524814076625,0.2857142857142857,86
MRX,0.30307482293721705,0.0,0.0,0.0,-0.25093487081383026,0.0,0.1645723994994552,0.2857142857142857,90
MYNZ,0.22029758895463614,0.0,0.0,0.0,-0.8344912304473758,0.0,-0.04339961589586689,0.2857142857142857,89
NBTX,0.3420155137187976,0.0,0.0,0.0,0.13923220567110137,0.0,0.2913196867068736,0.2857142857142857,89
NCNA,0.16550687103550454,0.0,0.0,0.0,-0.11575782577418617,0.0,0.09519069683308186,0.2857142857142857,89
NOMD,0.18264136594548433,0.0,0.0,0.0,-0.02458520877094392,0.0,0.13083472226637727,0.2857142857142857,90
NVS,0.2732919386061181,0.0,0.0,0.0,-0.17244449383822383,0.0,0.16185783049503263,0.2857142857142857,90
NVT,0.35794786604217066,0.0,0.0,0.0,-0.0047231842234992,0.0,0.2672801034757532,0.2857142857142857,90
NWG,0.2406239712311697,0.0,0.0,0.0,-0.2762341336996991,0.0,0.11140944499845248,0.2857142857142857,90
ONMD,0.16483862008599875,0.0,0.0,0.0,-0.611769142425954,0.0,-0.02931332054198946,0.2857142857142857,89
PSFE,0.07608638794413267,0.0,0.0,0.0,-0.48992115190002455,0.0,-0.06541549701690666,0.2857142857142857,90
PSO,0.12662682723713647,0.0,0.0,0.0,-0.10673474559930587,0.0,0.06828643402802588,0.2857142857142857,90
QURE,0.1845821432771572,0.0,0.0,0.0,-0.3785958076375622,0.0,0.043787655548477335,0.2857142857142857,90
RZLV,0.08867438484948795,0.0,0.0,0.0,0.07573999959191186,0.0,0.08544078853509393,0.2857142857142857,90
SHEL,0.18891808723348666,0.0,0.0,0.0,-0.14679448889451543,0.0,0.10498994320148612,0.2857142857142857,90
SNY,0.18855556537763352,0.0,0.0,0.0,-0.26387630456138444,0.0,0.07544759789287901,0.2857142857142857,90
SOPH,0.23053488173529818,0.0,0.0,0.0,-0.4076601703935869,0.0,0.07098611870307692,0.2857142857142857,90
TLSA,0.09934318867363012,0.0,0.0,0.0,0.13634076867251288,0.0,0.10859258367335081,0.2857142857142857,90
ARBKL,-0.005622035113123577,0.0,0.0,0.0,-0.9455362496565103,0.0,-0.24060058874897028,0.2857142857142857,86
ARGX,0.38392091116756055,0.0,0.0,0.0,0.12152870249432621,0.0,0.31832285899925195,0.2857142857142857,90
